Location,Dates and Times,Project Name / Agency,Description of Traffic Impacts
South Lake Union,June 3 - 5,HONK! West Fest events,"Annual music festival dedicated to the activation of public space through energetic musical performance. This year's festival will take place In Seattle's Georgetown (Friday) and Columbia City (Saturday) neighborhoods, as well as at Yesler Terrace Park (Sunday). Refer to website for festival hours."
South Lake Union,23-May,John Cleese concert,At McCaw Hall. Show at 7:30PM.
SODO,4-Jun,Luke Combs concert,At Lumen Field. 6:30PM start.
SODO,27-May,Mariners vs. Houston Astro's,Seattle Mariners host the Houston Astros at T-Mobile Park. First pitch at 6:40PM.
SODO,28-May,Mariners vs. Houston Astro's,Seattle Mariners host the Houston Astros at T-Mobile Park. First pitch at 7:10PM.
SODO,29-May,Mariners vs. Houston Astro's,Seattle Mariners host the Houston Astros at T-Mobile Park. First pitch at 1:10PM.
SODO,23-May,Mariners vs. Oakland A's,Seattle Mariners host the Oakland A's at T-Mobile Park. First pitch at 6:40PM.
SODO,24-May,Mariners vs. Oakland A's,Seattle Mariners host the Oakland A's at T-Mobile Park. First pitch at 6:40PM.
SODO,25-May,Mariners vs. Oakland A's,Seattle Mariners host the Oakland A's at T-Mobile Park. First pitch at 1:10PM.
East,May 16 - 19,Montlake Blvd. on-ramp to EB SR520 closed nightly,The Montlake Blvd. on-ramp to eastbound SR520 will be closed nightly during construction of the new Montlake Lid. 10PM to 6AM.
SR520,May 16 - 19,Montlake Blvd. on-ramp to EB SR520 closed nightly,The Montlake Blvd. on-ramp to eastbound SR520 will be closed nightly during construction of the new Montlake Lid. 10PM to 6AM.
SODO,21-May,Move for Love,Move for Love Seattle is a timed 5K walk/run at Lumen Field and a day of community and family fun! Check-in Starts: 8 a.m. Walk/Run Starts: 8:45 a.m.
Downtown,May 16 - 19,NB I-5 mainline closed nightly between the I-5 collector-distributor and Olive Way,"All travel lanes of the northbound I-5 mainline will be closed nightly from 9PM to 5AM between the NB I-5 collector-distributor and Olive Way. In addition, the I-5 Express Lanes between Seneca St. and Northgate will close at 9PM rather than 11PM. Drivers may consider using I-90 to I-405 before heading north. You can also use SR 99, just remember there's a toll to use the tunnel. The other detours will be through Seattle on city streets."
I-5,May 16 - 19,NB I-5 mainline closed nightly between the I-5 collector-distributor and Olive Way,"All travel lanes of the northbound I-5 mainline will be closed nightly from 9PM to 5AM between the NB I-5 collector-distributor and Olive Way. In addition, the I-5 Express Lanes between Seneca St. and Northgate will close at 9PM rather than 11PM. Drivers may consider using I-90 to I-405 before heading north. You can also use SR 99, just remember there's a toll to use the tunnel. The other detours will be through Seattle on city streets."
Downtown,May 23 - 26,NB I-5 mainline closed nightly between the I-5 collector-distributor and Olive Way,"All travel lanes of the northbound I-5 mainline will be closed nightly from 9PM to 5AM between the NB I-5 collector-distributor and Olive Way. In addition, the I-5 Express Lanes between Seneca St. and Northgate will close at 9PM rather than 11PM. Drivers may consider using I-90 to I-405 before heading north. You can also use SR 99, just remember there's a toll to use the tunnel. The other detours will be through Seattle on city streets."
I-5,May 23 - 26,NB I-5 mainline closed nightly between the I-5 collector-distributor and Olive Way,"All travel lanes of the northbound I-5 mainline will be closed nightly from 9PM to 5AM between the NB I-5 collector-distributor and Olive Way. In addition, the I-5 Express Lanes between Seneca St. and Northgate will close at 9PM rather than 11PM. Drivers may consider using I-90 to I-405 before heading north. You can also use SR 99, just remember there's a toll to use the tunnel. The other detours will be through Seattle on city streets."
Downtown,May 31 - June 3,NB I-5 mainline closed nightly between the I-5 collector-distributor and Olive Way,"All travel lanes of the northbound I-5 mainline will be closed nightly from 9PM to 5AM between the NB I-5 collector-distributor and Olive Way. In addition, the I-5 Express Lanes between Seneca St. and Northgate will close at 9PM rather than 11PM. Drivers may consider using I-90 to I-405 before heading north. You can also use SR 99, just remember there's a toll to use the tunnel. The other detours will be through Seattle on city streets."
I-5,May 31 - June 3,NB I-5 mainline closed nightly between the I-5 collector-distributor and Olive Way,"All travel lanes of the northbound I-5 mainline will be closed nightly from 9PM to 5AM between the NB I-5 collector-distributor and Olive Way. In addition, the I-5 Express Lanes between Seneca St. and Northgate will close at 9PM rather than 11PM. Drivers may consider using I-90 to I-405 before heading north. You can also use SR 99, just remember there's a toll to use the tunnel. The other detours will be through Seattle on city streets."
South Lake Union,4-Jun,New Kids on the Block concert,"At Climate Pledge Arena. Doors at 6:30PM, concert at 8PM."
South Lake Union,May 27 - 30,Northwest Folklife Festival,51st annual Northwest Folklife Festival. At the Seattle Center. Festival hours: 11AM - 10PM
South Lake Union,May 27 - 30,Northwest Folklife Festival,51st annual Northwest Folklife Festival. At the Seattle Center. Festival hours: 11AM - 10PM
SODO,25-May,OL Reign vs. Kansas City Current,OL Reign host the Kansas City Current at Lumen Field. 7PM kickoff.
SODO,29-May,OL Reign vs. San Diego Wave FC,OL Reign host the San Diego Wave FC at Lumen Field. 12PM kickoff.
SODO,22-May,OL Reign vs. Washington Spirit,OL Reign host the Washington Spirit at Lumen Field. 3PM kickoff.
South Lake Union,June 3 & 4,Pacific Northwest Ballet presents All Tharp,"At McCaw Hall. Performances at 7:30PM Friday, 2PM and 7:30PM Saturday."
East,4-Jun,Pride in the Park,Annual event at Volunteer Park to celebrate the LGBTQIA+ community during Pride Month. Event hours: 12PM - 7PM.
East,2019 - 2029,Rest of the West: SR520 - I-5 to Lake Washington,"The remaining SR520 improvements from Lake Washington to I-5 will be done in phases called ""Rest of the West"". They include the following: - The second of two parallel west approach bridges. - Landscaped highway lids in Seattle's Montlake and Roanoke neighborhoods. - A new bicycle and pedestrian land bridge over SR520. - a new, reversible bus / carpool connection between SR520 and Seattle's South Lake Union area. - A new Portage Bay Bridge. - A second bascule bridge over the Montlake Cut. Phased project names & timelines: - SR520 Montlake Project: Summer 2019 - 4 or 5 years - SR520 / I-5 Express Lanes Connection Project: 2020 - 3 years - Montlake Cut Bascule Bridge Project: Timeline TBD - Portage Bay Bridge and Roanoke Lid Project: 2023 - 6 years"
I-5,2019 - 2029,Rest of the West: SR520 - I-5 to Lake Washington,"The remaining SR520 improvements from Lake Washington to I-5 will be done in phases called ""Rest of the West"". They include the following: - The second of two parallel west approach bridges. - Landscaped highway lids in Seattle's Montlake and Roanoke neighborhoods. - A new bicycle and pedestrian land bridge over SR520. - a new, reversible bus / carpool connection between SR520 and Seattle's South Lake Union area. - A new Portage Bay Bridge. - A second bascule bridge over the Montlake Cut. Phased project names & timelines: - SR520 Montlake Project: Summer 2019 - 4 or 5 years - SR520 / I-5 Express Lanes Connection Project: 2020 - 3 years - Montlake Cut Bascule Bridge Project: Timeline TBD - Portage Bay Bridge and Roanoke Lid Project: 2023 - 6 years"
Northeast,2019 - 2029,Rest of the West: SR520 - I-5 to Lake Washington,"The remaining SR520 improvements from Lake Washington to I-5 will be done in phases called ""Rest of the West"". They include the following: - The second of two parallel west approach bridges. - Landscaped highway lids in Seattle's Montlake and Roanoke neighborhoods. - A new bicycle and pedestrian land bridge over SR520. - a new, reversible bus / carpool connection between SR520 and Seattle's South Lake Union area. - A new Portage Bay Bridge. - A second bascule bridge over the Montlake Cut. Phased project names & timelines: - SR520 Montlake Project: Summer 2019 - 4 or 5 years - SR520 / I-5 Express Lanes Connection Project: 2020 - 3 years - Montlake Cut Bascule Bridge Project: Timeline TBD - Portage Bay Bridge and Roanoke Lid Project: 2023 - 6 years"
SR520,2019 - 2029,Rest of the West: SR520 - I-5 to Lake Washington,"The remaining SR520 improvements from Lake Washington to I-5 will be done in phases called ""Rest of the West"". They include the following: - The second of two parallel west approach bridges. - Landscaped highway lids in Seattle's Montlake and Roanoke neighborhoods. - A new bicycle and pedestrian land bridge over SR520. - a new, reversible bus / carpool connection between SR520 and Seattle's South Lake Union area. - A new Portage Bay Bridge. - A second bascule bridge over the Montlake Cut. Phased project names & timelines: - SR520 Montlake Project: Summer 2019 - 4 or 5 years - SR520 / I-5 Express Lanes Connection Project: 2020 - 3 years - Montlake Cut Bascule Bridge Project: Timeline TBD - Portage Bay Bridge and Roanoke Lid Project: 2023 - 6 years"
South Lake Union,May 20 - 22,Seattle Opera presents The Marriage of Figaro,"At McCaw Hall. Approximate running time: 3 hours, 5 minutes, including 2 intermissions. Performances at 7:30PM Wednesday, Friday and Saturday, and 2PM Sunday."
SODO,29-May,Sounders vs. Charlotte FC,Seattle Sounders host the Charlotte FC at Lumen Field. 6:30PM kickoff.
South Lake Union,28-May,Stars on Ice 2022 Tour,"At Climate Pledge Arena. Doors at 6:30PM, show at 7:30PM."
South Lake Union,5-Jun,Storm vs. Connecticut Sun,Seattle Storm host the Connecticut Sun at Climate Pledge Arena. Tipoff at 3PM.
South Lake Union,3-Jun,Storm vs. Dallas Wings,Seattle Storm host the Dallas Wings at Climate Pledge Arena. Tipoff at 7PM.
South Lake Union,20-May,Storm vs. Los Angeles Sparks,Seattle Storm host the Los Angeles Sparks at Climate Pledge Arena. Tipoff at 7PM.
South Lake Union,27-May,Storm vs. New York Liberty,Seattle Storm host the New York Liberty at Climate Pledge Arena. Tipoff at 7PM.
South Lake Union,29-May,Storm vs. New York Liberty,Seattle Storm host the New York Liberty at Climate Pledge Arena. Tipoff at 3PM.
Northeast,May 21 & 22,University District Street Fair,"51st annual street fair along University Way NE, between NE 50th St. and NE 41st St. Fair hours: 11AM - 7PM Saturday, and 11AM - 6PM Sunday."
Downtown,11-Dec-20,Waterfront Seattle,"As early as December 11, Alaskan Way traffic in Pioneer Square will shift east onto the newly rebuilt Alaskan Way roadway between S King and Columbia streets, while the construction zone moves to the west side. The new sidewalk on the east side of Alaskan Way will also open for more accessible pedestrian routes through the neighborhood and along the waterfront. North of Columbia St, construction will remain in the current work area on the east side of Alaskan Way. In addition, S Washington St. between Alaskan Way S and 1st Ave S will permanently change to become a single-lane, westbound-only street."
SODO,11-Dec-20,Waterfront Seattle,"As early as December 11, Alaskan Way traffic in Pioneer Square will shift east onto the newly rebuilt Alaskan Way roadway between S King and Columbia streets, while the construction zone moves to the west side. The new sidewalk on the east side of Alaskan Way will also open for more accessible pedestrian routes through the neighborhood and along the waterfront. North of Columbia St, construction will remain in the current work area on the east side of Alaskan Way. In addition, S Washington St. between Alaskan Way S and 1st Ave S will permanently change to become a single-lane, westbound-only street."
I-5,June 3 - 6,Weekend lane and ramp closures on SB I-5 between I-90 and S. Spokane St.,"Up to three lanes of southbound I-5 between I-90 and S. Spokane St. will be closed over the weekend during bridge deck and expansion joint repairs. In addition, the I-90 ramps to SB I-5 will be closed. 10PM Friday to 5AM Monday. This work is weather dependent."
I-5,May 20 - 23,Weekend lane and ramp closures on SB I-5 between I-90 and S. Spokane St.,"Up to three lanes of southbound I-5 between I-90 and S. Spokane St. will be closed over the weekend during bridge deck and expansion joint repairs. In addition, the exits to S. Forest St. and the West Seattle Bridge/Columbia Way will be closed. 10PM Friday to 5AM Monday. This work is weather dependent."
